Ticker,Event,Subtitle,Bid,Ask,Last,Volume
KXMVESPORTSMULTIGAMEEXTENDED-S20256CB70FB7945-6F6CC4F61E0,"yes Jalen Johnson: 4+,yes Tyrese Maxey: 6+,yes Stephen Curry: 25+,yes Anthony Edwards: 20+,yes Julius Randle: 15+,yes CJ McCollum: 10+,yes Jalen Johnson: 20+,yes Nickeil Alexander-Walker: 10+,yes Pascal Siakam: 15+,yes Coby White: 15+,yes Josh Giddey: 10+,yes Nikola Vučević: 10+,yes Luka Dončić: 30+,yes Alperen Sengun: 15+,yes Kevin Durant: 20+,yes Jaren Jackson Jr.: 10+,yes Donovan Mitchell: 25+,yes Evan Mobley: 15+,yes Desmond Bane: 15+,yes Paolo Banchero: 20+,yes Kon Knueppel: 15+,yes LaMelo Ball: 15+,yes Miles Bridges: 10+,yes Tyrese Maxey: 25+,yes VJ Edgecombe: 10+,yes Derrick White: 15+,yes Jaylen Brown: 20+,yes Anthony Edwards: 2+,yes Julius Randle: 4+,yes Rudy Gobert: 8+,yes Jalen Johnson: 10+,yes Pascal Siakam: 4+,yes Nikola Vučević: 6+,yes Luka Dončić: 4+,yes Alperen Sengun: 6+,yes Kevin Durant: 2+,yes Evan Mobley: 4+,yes Paolo Banchero: 6+,yes Kon Knueppel: 2+",,0.0,0.0,0.0,0
KXMVESPORTSMULTIGAMEEXTENDED-S20255F91A2BA90A-A4794AAB35A,"yes Drake Maye: 175+,yes Rhamondre Stevenson: 1+,yes Cooper Kupp: 1+,yes Rashid Shaheed: 1+,yes AJ Barner: 10+,yes TreVeyon Henderson: 50+",,0.0,0.0,0.0,0
KXMVESPORTSMULTIGAMEEXTENDED-S2025EFE7885E855-32130A83187,"yes Pascal Siakam: 1+,yes Luka Dončić: 2+,yes CJ McCollum: 10+,yes Nickeil Alexander-Walker: 10+,yes Pascal Siakam: 15+,yes Draymond Green: 2+,yes Julius Randle: 4+,yes Rudy Gobert: 8+,yes Pascal Siakam: 4+,yes Evan Mobley: 6+,yes Kon Knueppel: 4+,yes LaMelo Ball: 2+",,0.0,0.0,0.0,0
KXMVESPORTSMULTIGAMEEXTENDED-S2025DA9410F79FC-7D6FC9D3CD7,"yes Indiana,yes Chicago,yes Orlando,yes Philadelphia,yes Houston wins by over 10.5 Points,yes Boston wins by over 6.5 Points",,0.0,0.0,0.0,0
KXMVESPORTSMULTIGAMEEXTENDED-S2025A4316B4CAE1-1A65826B09C,"yes Jaxon Smith-Njigba,yes Kenneth Walker III,yes Stefon Diggs: 40+,yes Cooper Kupp: 20+,yes TreVeyon Henderson: 30+,yes Over 46.5 points scored",,0.0,0.0,0.0,0
KXMVESPORTSMULTIGAMEEXTENDED-S20255FD83F2E5D8-9346670DC93,"yes Cleveland,yes Boston,yes Alperen Sengun: 15+,yes Amen Thompson: 20+,yes Houston wins by over 7.5 Points",,0.0,0.0,0.0,0
KXMVESPORTSMULTIGAMEEXTENDED-S202510340110217-86AC2F7EAA4,"yes Jaxon Smith-Njigba,yes Sam Darnold: 2+,yes Drake Maye: 225+,yes Sam Darnold: 225+,yes Seattle wins by over 5.5 points,yes Over 45.5 points scored",,0.0,0.0,0.0,0
KXMVESPORTSMULTIGAMEEXTENDED-S2025914FA417BC2-91528A9BDF0,"yes Kon Knueppel: 2+,yes LaMelo Ball: 6+,yes CJ McCollum: 10+,yes Jalen Johnson: 20+,yes Nickeil Alexander-Walker: 20+,yes Pascal Siakam: 15+,yes Kon Knueppel: 4+,yes Dyson Daniels: 1+,yes Tyrese Maxey: 1+",,0.0,0.0,0.0,0
KXMVESPORTSMULTIGAMEEXTENDED-S2025B0F3C8E2087-E04948A0BFE,"yes Kon Knueppel: 1+,yes LaMelo Ball: 2+,yes Miles Bridges: 1+,yes Tyrese Maxey: 2+,yes VJ Edgecombe: 1+,yes Kon Knueppel: 2+,yes LaMelo Ball: 4+,yes Miles Bridges: 2+,yes Tyrese Maxey: 6+,yes VJ Edgecombe: 2+,yes Kon Knueppel: 15+,yes Miles Bridges: 10+,yes Tyrese Maxey: 25+,yes VJ Edgecombe: 10+,yes Kon Knueppel: 2+,yes LaMelo Ball: 2+,yes Tyrese Maxey: 1+",,0.0,0.0,0.0,0
KXMVESPORTSMULTIGAMEEXTENDED-S20255C190834576-129D7E631F5,"yes Pascal Siakam: 1+,yes LeBron James: 1+,yes Kevin Durant: 1+,yes Jaren Jackson Jr.: 1+,yes Desmond Bane: 1+,yes Paolo Banchero: 1+,yes Kon Knueppel: 1+,yes Miles Bridges: 1+,yes Anthony Edwards: 2+,yes Coby White: 2+,yes Nikola Vučević: 2+,yes Alperen Sengun: 4+,yes Paolo Banchero: 2+,yes Derrick White: 2+,yes Nikola Vučević: 10+,yes Alperen Sengun: 15+,yes Anthony Edwards: 2+,yes Pascal Siakam: 6+,yes Nikola Vučević: 6+,yes Luka Dončić: 6+,yes Alperen Sengun: 6+,yes Amen Thompson: 4+,yes Kevin Durant: 2+,yes Donovan Mitchell: 2+,yes Paolo Banchero: 6+,yes Kon Knueppel: 2+,yes Derrick White: 2+,yes Payton Pritchard: 2+",,0.0,0.0,0.0,0
