ITEMNMBR,ITEMDESC,CostToday,CostThen,Diff,AbsDiff,PctChange
ZON200402                      ,Dyna Zone 20-0-4 .6Fe .2Mn EDTA                                                                      ,5.88235,3.32093,2.5614199999999996,2.5614199999999996,77.12959923876743
HARPHOSMAX02                   ,MAX Phosphorus Plus                                                                                  ,7.77432,10.30988,-2.5355599999999994,2.5355599999999994,-24.593496723531207
MAC426YP9                      ,Dyna Flo 4-2-6YP9                                                                                    ,151.0,148.68069,2.3193100000000015,2.3193100000000015,1.55992684725905
FLO003702                      ,Dyna Flo 0-0-37                                                                                      ,6.64594,8.85606,-2.210119999999999,2.210119999999999,-24.95601881649401
OMFISHEM02                     ,Omega Grow Fish Emulsion Protein 4-1-1                                                               ,9.212,7.00554,2.20646,2.20646,31.4959303636836
MAC426SYM2                     ,Dyna Flo 4-2-6SYM2                                                                                   ,173.33333,175.51891,-2.185580000000016,2.185580000000016,-1.2452105587939304
MAC526YM3I                     ,Dyna Flo 5-2-6 YM3I w/integrate 20                                                                   ,360.0,362.02605,-2.026049999999998,2.026049999999998,-0.5596420478581576
MAC845YX                       ,Dyna Flo 8-4-5 YX                                                                                    ,303.38262,305.39451,-2.011890000000051,2.011890000000051,-0.65878394474087
MAC428YY                       ,Dyna Flo 4-2-8YY                                                                                     ,160.0,158.0,2.0,2.0,1.2658227848101267
MAC606YF1                      ,Dyna Flo 6-0-6YF1                                                                                    ,136.0,134.0,2.0,2.0,1.4925373134328357
MAC526YM6                      ,Dyna Flo 5-2-6 YM6                                                                                   ,302.04642,304.0,-1.953579999999988,1.953579999999988,-0.6426249999999961
MAC526YP2                      ,Dyna Flo 5-2-6YP2                                                                                    ,325.92826,324.0,1.928260000000023,1.928260000000023,0.595141975308649
MAC946XF                       ,Dyna Flo 9-4-6XF                                                                                     ,228.0,226.13283,1.8671699999999873,1.8671699999999873,0.8256961185158241
MAC1407ZF                      ,Dyna Flo 14-0-7                                                                                      ,202.14117,204.0,-1.8588300000000118,1.8588300000000118,-0.911191176470594
MAC408YB4I                     ,Dyna Flo 4-0-8YB4I w/Integrate 20                                                                    ,268.0,269.85402,-1.8540199999999913,1.8540199999999913,-0.6870455366942436
MAC1128H                       ,Dyna Flo 11-2-8 H                                                                                    ,304.0,302.16292,1.8370800000000145,1.8370800000000145,0.6079766504771713
MAC626XF                       ,Dyna Flo 6-2-6XF                                                                                     ,256.0,257.81881,-1.818809999999985,1.818809999999985,-0.705460551927916
KEYCAMGB+02                    ,Key Plex Calcium Magnesium Boron Plus                                                                ,4.95868,3.15315,1.80553,1.80553,57.26115154686583
ZON1201500                     ,ZoneAce 12-0-15                                                                                      ,6.59056,8.38669,-1.7961299999999998,1.7961299999999998,-21.416434850936422
ZZLIDS                         ,Lids for 5 Gallon White Pails                                                                        ,3.59029,1.81,1.78029,1.78029,98.35856353591159
MAC2400                        ,Dyna Flo 24-0-0                                                                                      ,194.22592,196.0,-1.7740799999999979,1.7740799999999979,-0.9051428571428561
MAC534YY                       ,Dyna Flo 5-3-4 YY                                                                                    ,488.0,489.74887,-1.7488700000000108,1.7488700000000108,-0.35709525986247004
GROFE1002                      ,Dyna Gro Iron 10%                                                                                    ,8.578,6.84599,1.7320099999999998,1.7320099999999998,25.299627957388193
9912-0325                      ,2-2-4 Straw Fert Mix-LiqFertNTB                                                                      ,114.2701,116.0,-1.7299000000000007,1.7299000000000007,-1.4912931034482764
MAC507SYB2                     ,Dyna Flo 5-0-7SYB2                                                                                   ,176.0,177.71146,-1.7114599999999882,1.7114599999999882,-0.9630555058182451
MAC528YE                       ,Dyna Flo 5-2-8YE                                                                                     ,149.7041,148.0,1.704100000000011,1.704100000000011,1.1514189189189263
MAC426YM7                      ,Dyna Flo 4-2-6YM7                                                                                    ,282.30521,284.0,-1.6947900000000118,1.6947900000000118,-0.5967570422535252
MAC527YP1                      ,Dyna Flo 5-2-7YP1                                                                                    ,148.0,149.669,-1.6690000000000111,1.6690000000000111,-1.1151273810876072
ZZ55GALMETAL                   ,55 Gallon Metal Drums                                                                                ,30.6667,29.0,1.6666999999999987,1.6666999999999987,5.74724137931034
MAC506XS                       ,Dyna Flo 5-0-6XS                                                                                     ,288.0,286.33825,1.6617499999999836,1.6617499999999836,0.5803450988472492
MAC537YM1                      ,Dyna Flo 5-3-7YM1                                                                                    ,256.0,254.37178,1.628219999999999,1.628219999999999,0.6400945891089015
MAC1TIME4                      ,Dyna Flo 6.5-2.3-6.2                                                                                 ,316.0,314.39484,1.6051600000000121,1.6051600000000121,0.5105554531365757
MAC426YP15                     ,Dyna Flo 4-2-6 YP15                                                                                  ,188.0,189.60146,-1.601460000000003,1.601460000000003,-0.8446453946082498
MAC408YB2                      ,Dyna Flo 4-0-8YB2                                                                                    ,244.0,245.59103,-1.5910299999999893,1.5910299999999893,-0.647837178743861
MAC626YM2                      ,Dyna Flo 6-2-6YM2                                                                                    ,154.4107,156.0,-1.5893000000000086,1.5893000000000086,-1.0187820512820567
0001-0014                      ,24-0-0 Golf/Turf Fert Mix-LiqFertNTB                                                                 ,128.0,129.57164,-1.5716400000000021,1.5716400000000021,-1.2129506117233695
MAC885L                        ,Dyna Flo 8-8-5L                                                                                      ,394.45815,396.0,-1.5418500000000108,1.5418500000000108,-0.38935606060606337
MAC1606ZF1                     ,Dyna Flo 16-0-6 ZF1                                                                                  ,396.0,394.49273,1.5072700000000054,1.5072700000000054,0.3820780170017342
PHYLO250                       ,pHylo / Neutralizer                                                                                  ,6.63124,5.14467,1.4865700000000004,1.4865700000000004,28.895342169662978
MAC526YM5                      ,Dyna Flo 5-2-6 YM5                                                                                   ,300.0,298.5402,1.459799999999973,1.459799999999973,0.4889793736320846
MAC426SYM4                     ,Dyna Flo 4-2-6SYM4                                                                                   ,172.0,170.5894,1.410599999999988,1.410599999999988,0.8268978025598237
BREWMSO02                      ,Farmer Supply MSO                                                                                    ,10.43889,9.05,1.38889,1.38889,15.34685082872928
OMFISHEM250                    ,Omega Grow Fish Emulsion Protein 4-1-1                                                               ,7.44944,6.07011,1.3793300000000004,1.3793300000000004,22.72331143916668
MAC608YB3                      ,Dyna Flo 6-0-8YB3                                                                                    ,141.6252,143.0,-1.3747999999999934,1.3747999999999934,-0.9613986013985968
MAC507YA7                      ,Dyna Flo 5-0-7YA7                                                                                    ,313.37459,312.0,1.374590000000012,1.374590000000012,0.44057371794872174
MAC606YB1                      ,Dyna Flo 6-0-6YB1                                                                                    ,244.0,245.36875,-1.3687500000000057,1.3687500000000057,-0.5578338724878394
MAC727YM16                     ,Dyna Flo 7-2-7YM16                                                                                   ,269.32416,268.0,1.3241600000000062,1.3241600000000062,0.4940895522388083
FLO164855                      ,Dyna Flo 16-4-8 / Instant Green +                                                                    ,3.89618,2.57727,1.3189100000000002,1.3189100000000002,51.17469260108566
MAC406SYB1                     ,Dyna Flo 4-0-6SYB1                                                                                   ,172.0,173.30258,-1.302580000000006,1.302580000000006,-0.7516218165938476
MAC426YP16                     ,Dyna Flo 4-2-6YP16                                                                                   ,280.0,281.30045,-1.300450000000012,1.300450000000012,-0.4622992960018415
MAC548XX                       ,Dyna Flo 5-4-8xx                                                                                     ,316.0,314.70119,1.2988100000000031,1.2988100000000031,0.41271213496205816
CL2AM                          ,Ammomium Chloride 26-0-0 66Cl                                                                        ,1.435,0.14001,1.29499,1.29499,924.9267909435041
MAC527YM4                      ,Dyna Flo 5-2-7YM4                                                                                    ,285.2802,284.0,1.2801999999999794,1.2801999999999794,0.4507746478873167
GPBLACK+02                     ,BlackStrap Plus /  Energy+                                                                           ,7.53133,6.27473,1.2565999999999997,1.2565999999999997,20.026359699939274
SO4MOLY                        ,Moly 39.6%                                                                                           ,12.10013,13.33333,-1.2332,1.2332,-9.249002312250578
MAC828YM2                      ,Dyna Flo 8-2-8YM2                                                                                    ,264.0,262.79358,1.20641999999998,1.20641999999998,0.4590751417899859
CEIABIO02                      ,Ceia Bio Push                                                                                        ,16.95,18.15206,-1.2020599999999995,1.2020599999999995,-6.622168503189167
MAC1005YK                      ,Dyna Flo 10-0-5YK                                                                                    ,276.0,274.81589,1.1841099999999756,1.1841099999999756,0.4308739207183309
MAC727YR5                      ,Dyna Flo 7-2-7YR5                                                                                    ,336.18278,335.0,1.1827799999999797,1.1827799999999797,0.35306865671641186
NPKPHOSDRYCDI                  ,Phosphorous Acid 99% P2O5 85%                                                                        ,2.2,1.01797,1.1820300000000001,1.1820300000000001,116.11638849867876
MAC6010YK1                     ,Dyna Flo 6-0-10YK1                                                                                   ,132.0,133.16499,-1.1649899999999889,1.1649899999999889,-0.874847060026805
MAC426SYM3                     ,Dyna Flo 4-2-6SYM                                                                                    ,173.11308,172.0,1.1130799999999965,1.1130799999999965,0.6471395348837189
FLOCATS02                      ,Dyna Flo Calcium Thiosulfate                                                                         ,5.1116,4.01797,1.09363,1.09363,27.218471018947383
MAC426YP5                      ,Dyna Flo 4-2-6YP5                                                                                    ,196.0,197.08766,-1.0876599999999996,1.0876599999999996,-0.5518661087152791
FLOQKST02                      ,Dyna Flo Quik Start 8-31-3 / Grizzly Launch                                                          ,7.12417,8.1875,-1.0633299999999997,1.0633299999999997,-12.98723664122137
MAC506YB2                      ,Dyna Flo 5-0-6YB2 w/Merge                                                                            ,256.0,254.947,1.0529999999999973,1.0529999999999973,0.4130270213024657
GVBIOOAK00                     ,Root Driver                                                                                          ,4.97184,6.02133,-1.0494899999999996,1.0494899999999996,-17.42953799243688
MAC448YM1                      ,Dyna Flo 4-4-8 YM1                                                                                   ,264.0,265.0464,-1.0464000000000055,1.0464000000000055,-0.39479879749357305
MAC0015                        ,Dyna Flo 0-0-15                                                                                      ,230.96,232.0,-1.039999999999992,1.039999999999992,-0.4482758620689621
MAC428YM1                      ,Dyna Flo 4-2-8YM1                                                                                    ,326.7198,325.69649,1.0233100000000377,1.0233100000000377,0.314191288951268
GVBIOOAK250                    ,Root Driver                                                                                          ,5.47184,6.48724,-1.0153999999999996,1.0153999999999996,-15.652265061875307
INTEGRE20250                   ,Integrate 20                                                                                         ,1.58267,0.5784,1.00427,1.00427,173.6289764868603
MAC1246L                       ,Dyna Flo 12-4-6L                                                                                     ,190.0,189.0,1.0,1.0,0.5291005291005291
MAC807YK                       ,Dyna Flo 8-0-7YK                                                                                     ,148.0,147.0,1.0,1.0,0.6802721088435374
MAC10010XY                     ,Dyna Flo 10-0-10XY                                                                                   ,150.0,149.00941,0.9905899999999974,0.9905899999999974,0.664783519376392
MAC1206REG2                    ,Dyna Flo 12-0-6REG2                                                                                  ,184.0,184.98711,-0.9871100000000013,0.9871100000000013,-0.5336101526209048
MAC426YM10                     ,Dyna Flo 4-2-6YM10                                                                                   ,272.0,272.98618,-0.9861799999999903,0.9861799999999903,-0.36125638301542967
9912-0071                      ,4-0-12 Golf/Turf Fert Mix-LiqFertNTB                                                                 ,121.0195,122.0,-0.9805000000000064,0.9805000000000064,-0.8036885245901692
MAC1200XI                      ,Dyna Flo 12-0-0XI                                                                                    ,108.9801,108.0,0.9800999999999931,0.9800999999999931,0.9074999999999935
MAC1236XH                      ,Dyna Flo 12-3-6 XH                                                                                   ,335.02154,336.0,-0.9784599999999841,0.9784599999999841,-0.29120833333332863
MAC428YM1M                     ,Dyna Flo 4-2-8YM1M w/Merge                                                                           ,356.97605,356.0,0.9760499999999865,0.9760499999999865,0.27417134831460294
MAC527YP                       ,Dyna Flo 5-2-7YP                                                                                     ,166.1628,165.19,0.9728000000000065,0.9728000000000065,0.5888976330286377
GPZYME00                       ,Dyna Zyme                                                                                            ,11.22515,10.26,0.9651499999999995,0.9651499999999995,9.406920077972705
MAC2400-3                      ,Dyna Flo 24-0-0                                                                                      ,140.9424,140.0,0.9423999999999921,0.9423999999999921,0.6731428571428515
MAC707YF1                      ,Dyna Flo 7-0-7YF1                                                                                    ,324.0,323.05975,0.9402499999999918,0.9402499999999918,0.2910452323447882
MAC907YB2                      ,Dyna Flo 9-0-7YB2                                                                                    ,272.0,271.06226,0.9377400000000193,0.9377400000000193,0.3459500411455359
FLOQKST250                     ,Dyna Flo Quik Start 8-31-3 / Grizzly Launch                                                          ,6.11236,5.1856,0.9267599999999998,0.9267599999999998,17.87179882752237
MAC8010ZF                      ,Dyna Flo 8-0-10ZF                                                                                    ,108.9219,108.0,0.9218999999999937,0.9218999999999937,0.8536111111111053
MAC828YM3                      ,Dyna Flo 8-2-8YM3                                                                                    ,326.0,326.9051,-0.9051000000000045,0.9051000000000045,-0.276869342203595
MAC507YD                       ,Dyna Flo 5-0-7YD                                                                                     ,139.7355,140.63591,-0.9004099999999937,0.9004099999999937,-0.6402418841674177
MAC1646F                       ,Dyna Flo 16-4-6F                                                                                     ,152.0,152.89291,-0.8929100000000005,0.8929100000000005,-0.5840100760722002
MAC527YP6                      ,Dyna Flo 5-2-7YP6                                                                                    ,168.0,167.11469,0.885310000000004,0.885310000000004,0.5297619257768447
MAC626YM7                      ,Dyna Flo 6-2-6YM7                                                                                    ,282.0,282.87759,-0.8775899999999979,0.8775899999999979,-0.310236664558687
KEY35000                       ,Key Plex 350                                                                                         ,3.7037,2.83566,0.8680400000000001,0.8680400000000001,30.611568382669297
MAC927YM3IN                    ,Dyna Flo 9-2-7YM3IN w/Integrate 20                                                                   ,346.0,346.86043,-0.860430000000008,0.860430000000008,-0.24806231140289134
MAC634BB2                      ,Dyna Flo 6-3-4  BB2                                                                                  ,298.0,297.15163,0.8483699999999885,0.8483699999999885,0.2855007054815713
