ITEMNMBR,UOFM,Description,MinCost,MaxCost,AvgCost,TxCount,VendorCount,SpreadPct
REPAIR 5 MINI TANKS            ,Each     ,                                                                                                     ,36.3,309.58,194.46666666666667,6,1,752.8374655647383
HYDRAULIC HOSE                 ,Each     ,FERTILIZER TRUCK                                                                                     ,50.15,389.84,219.99499999999998,2,2,677.3479561316052
UPS CHARGE TO CDI              ,Each     ,                                                                                                     ,12.27,95.0,43.5788,25,3,674.2461287693562
REPAIR FORKLIFT                ,Each     ,MICRONUTRIENT FORKLIFT                                                                               ,182.21,1405.46,500.1825,4,1,671.3407606607759
DELIVERY CHARGE                ,         ,                                                                                                     ,3.36,25.2,11.543333333333331,6,2,650.0
FREIGHT CHARGES                ,Each     ,                                                                                                     ,5.5,40.0,11.568181818181818,11,4,627.2727272727273
UPS SHIPPING                   ,         ,                                                                                                     ,5.15,35.69,20.419999999999998,2,1,593.009708737864
DAVIDCOLE                      ,Each     ,"David Cole Trucking, Inc.                                                                            ",237.04,1620.5,479.76102564102564,39,1,583.63989200135
STETT                          ,Each     ,"Stett Transportation, Inc.                                                                           ",1000.0,6800.0,4040.296296296296,27,2,580.0
EKD-10 ELEMENT FILTER          ,Each     ,FOR FILING MACHINE                                                                                   ,13.1,88.93,51.015,2,1,578.8549618320612
REPAIR #1 HITCH HIKER          ,Each     ,                                                                                                     ,55.0,344.01,199.505,2,1,525.4727272727273
CHEH2SO4                       ,LBS      ,Sulfuric Acid Baume 93%                                                                              ,0.105,0.627,0.26839379310344824,29,3,497.14285714285717
AMMONIA FILTERS                ,Each     ,                                                                                                     ,8.75,51.12,29.935,2,2,484.22857142857134
NPKKNO3                        ,LBS      ,Potassium Nitrate Soluble                                                                            ,0.11,0.63,0.34097735849056604,265,4,472.72727272727275
SO4MOLY                        ,LBS      ,Moly 39.6%                                                                                           ,2.14,12.1,8.475698181818181,11,2,465.42056074766344
ANTIFREEZE                     ,each     ,Antifreeze for trucks                                                                                ,22.735,125.86,57.10999999999999,3,1,453.5957774356719
CHEMOLASS                      ,LBS      ,Molasses                                                                                             ,0.1033,0.56375,0.22312375,8,1,445.7405614714424
SHIPPING CHARGE                ,         ,                                                                                                     ,3.61,18.12,7.1819999999999995,5,2,401.9390581717453
ENVIRONMENTAL CHARGE           ,         ,                                                                                                     ,0.25,1.25,0.75,2,1,400.0
MOTOR BRUSHES                  ,SETS     ,11&12C                                                                                               ,10.1,50.0,30.05,2,2,395.049504950495
STAPLES (ROLL) SWC743/581M     ,CASE     ,                                                                                                     ,50.0,240.83,145.41500000000002,2,1,381.66
"3"" MALE ADAPTOR                ",Each     ,Sch 40 PVC Slip x Male IPT                                                                           ,1.92,8.87,5.395,2,2,361.97916666666663
GRPFISHEM                      ,LBS      ,Omega Grow Fish Emulsion Protein 5-1-1                                                               ,0.16,0.73152,0.45117199999999996,5,1,357.2
LABOR FOR SERVICE              ,Each     ,PM all 3 air compressors and install Air Dryer                                                       ,110.0,500.0,203.0,10,4,354.54545454545456
ZZLIDSVENTED                   ,EACH5    ,Vented Lids                                                                                          ,0.3182,1.39635,0.5032099999999999,6,2,338.8277812696417
BRAKE REPAIR                   ,each     ,Brake Repair                                                                                         ,252.61,1103.83,678.22,4,1,336.97003285697315
UPS GROUND                     ,Each     ,ups ground charge                                                                                    ,15.72,68.56,42.14,4,2,336.1323155216285
NPKU32                         ,LBS      ,Urea Ammonium Nitrate 32%                                                                            ,0.102,0.44,0.16140736111111112,72,6,331.37254901960785
NPKAQUA                        ,LBS      ,Aqua Ammonia 23%                                                                                     ,0.1022,0.44,0.16232648648648648,74,5,330.52837573385517
SO4BORON                       ,LBS      ,Boron                                                                                                ,0.2,0.85001,0.6126006666666667,15,3,325.005
TIRE REPLACEMENT               ,Each     ,Drive Tire For #1 Hitch Hiker                                                                        ,84.16,357.34,220.75,2,1,324.5960076045627
SLIP SHEETS                    ,Each     ,1 PALLET @ 3000                                                                                      ,289.42,1224.46,953.57,4,2,323.073733674245
GRPGABA                        ,LBS      ,GABA                                                                                                 ,4.71736,19.5,8.5802625,16,1,313.3667983787542
SO4BORIC                       ,LBS      ,Boric Acid - 17.4%  Dry                                                                              ,0.15003,0.6154,0.4092665909090909,44,4,310.1846297407185
TEFLON TAPE                    ,Each     ,                                                                                                     ,1.0,4.06,2.53,2,2,305.99999999999994
"18"" HAND STRETCH WRAP          ",Each     ,                                                                                                     ,6.9,28.0,17.35,4,1,305.7971014492754
WINDOW ENVELOPES               ,Each     ,2500 each                                                                                            ,39.5,159.91,106.75999999999999,3,2,304.8354430379747
FILTER PAPER                   ,Each     ,                                                                                                     ,8.3,33.29,20.795,2,1,301.0843373493975
PALLETS                        ,Each     ,                                                                                                     ,3.0,12.0,4.1475,40,3,300.0
UPS CHARGES                    ,Each     ,                                                                                                     ,13.89,55.51,29.896666666666665,3,1,299.6400287976961
SHIP TO CDI BY UPS             ,Each     ,                                                                                                     ,11.72,46.0,25.324,5,1,292.49146757679176
NPKUREA                        ,LBS      ,Urea Dry  46% 1 Ton Bags                                                                             ,0.1025,0.395,0.21850000000000003,44,4,285.36585365853665
TRAVEL                         ,Each     ,$60 minimum for service truck travel                                                                 ,60.0,230.0,145.0,4,2,283.33333333333337
REPAIR BULKHEAD                ,Each     ,PHOS ACID TANK FERT.                                                                                 ,133.95,508.25,321.1,2,1,279.4326241134752
DELIVERY CHARGES               ,         ,                                                                                                     ,4.37,16.58,10.483333333333333,3,1,279.4050343249427
ZZ5GAL                         ,EACH5    ,5 Gallon Pail                                                                                        ,1.38663,5.22,2.0103252,25,5,276.4522619588498
SO4CU                          ,LBS      ,Copper Sulphate 25.2%                                                                                ,0.52,1.9531,0.9901722222222222,18,3,275.59615384615387
PLANNER REFILLS                ,Each     ,21889                                                                                                ,26.5,94.96,42.044285714285714,7,1,258.33962264150944
BOLTS                          ,Each     ,                                                                                                     ,9.4,32.39,20.895,2,1,244.5744680851064
MISCHCL                        ,LBS      ,Hydrochloric Acid                                                                                    ,0.105,0.36,0.16972222222222222,9,2,242.8571428571429
PARTS FOR REPAIR WORK (MISC)   ,each     ,Misc. parts for Safety Certification                                                                 ,679.69,2266.89,1473.29,4,2,233.51822154217362
FLANGE                         ,Each     ,"8"" 150# Blind (Cast Iron)                                                                            ",8.32,27.56,17.939999999999998,2,1,231.24999999999994
48X40 PALLETS                  ,Each     ,                                                                                                     ,2.75,9.0,3.1318181818181823,44,4,227.27272727272728
NPKPHOS75                      ,LBS      ,Phosphoric Acid 75%                                                                                  ,0.17,0.5525,0.2976394230769231,52,4,224.99999999999994
SO4MN                          ,LBS      ,Tech Magnum Manganses Sulfate                                                                        ,0.1975,0.64,0.29675,10,3,224.0506329113924
ZZ2.5GALF                      ,EACH5    ,2.5 F-style Jug/Box combo                                                                            ,1.39694,4.258,2.7954324615384616,65,4,204.80908270935046
NPK11370                       ,LBS      ,Ammonium Poly Phosphate 11-37-0                                                                      ,0.1075,0.325,0.2240078947368421,19,3,202.32558139534888
MAINT.SUPPLIES                 ,Each     ,                                                                                                     ,41.32,124.59,65.1557142857143,7,3,201.52468538238142
AIRLINE FITTINGS               ,Each     ,                                                                                                     ,1.58,4.7,3.14,2,1,197.46835443037975
GAUNTLET                       ,Each     ,5HA71                                                                                                ,4.48,13.29,8.885,2,1,196.65178571428567
NPKKSO4                        ,LBS      ,Potassium Sulphate 0-0-50                                                                            ,0.2324,0.6888,0.45956571428571424,7,3,196.3855421686747
