Batch ID,Item Number,Site ID,Trx Date,Trx Qty,Unit Cost,Reason Code
YE_CLOSE_2025,GRPVIT,MAIN,10/01/2025,-0.8399999999999999,30.55952,YE COUNT
YE_CLOSE_2025,GV1200602,MAIN,10/01/2025,-7.0,4.7,YE COUNT
YE_CLOSE_2025,H2OHOT,MAIN,10/01/2025,-76554266.76265,0.0,YE COUNT
YE_CLOSE_2025,JRM50102,MAIN,10/01/2025,40.0,11.65383,YE COUNT
YE_CLOSE_2025,JRMCALAM02,MAIN,10/01/2025,30.0,8.04826,YE COUNT
YE_CLOSE_2025,JRMFERRO02,MAIN,10/01/2025,-85.0,4.29639,YE COUNT
YE_CLOSE_2025,JRMKICK02,MAIN,10/01/2025,44.99955,11.11111,YE COUNT
YE_CLOSE_2025,JRMROOT02,MAIN,10/01/2025,20.0,5.00767,YE COUNT
YE_CLOSE_2025,JRMSUPERMN02,MAIN,10/01/2025,2.5,4.464,YE COUNT
YE_CLOSE_2025,MAC2510XD,MAIN,10/01/2025,-0.015,472.39164,YE COUNT
YE_CLOSE_2025,MAC725YZ2I,MAIN,10/01/2025,-0.015,369.41969,YE COUNT
YE_CLOSE_2025,MAC927YM1,MAIN,10/01/2025,-0.7424999999999999,377.27822,YE COUNT
YE_CLOSE_2025,MAC927YM3,MAIN,10/01/2025,-0.025000000000000022,387.47916,YE COUNT
YE_CLOSE_2025,MISCAG,MAIN,10/01/2025,-665.0,3.59495,YE COUNT
YE_CLOSE_2025,MISCBTERGE,MAIN,10/01/2025,-12.0,2.90333,YE COUNT
YE_CLOSE_2025,MISCDEFOAM,MAIN,10/01/2025,233.0,3.56875,YE COUNT
YE_CLOSE_2025,MISCDYEBLUELIQ,MAIN,10/01/2025,1.8999999999999986,15.47895,YE COUNT
YE_CLOSE_2025,MISCDYNA8020,MAIN,10/01/2025,14.699999999999818,1.07687,YE COUNT
YE_CLOSE_2025,MISCETHANOL,MAIN,10/01/2025,-340.0,0.86125,YE COUNT
YE_CLOSE_2025,MISCETHLACTATE,MAIN,10/01/2025,-400.0,3.35,YE COUNT
YE_CLOSE_2025,MISCGLYCEROL,MAIN,10/01/2025,-2362.9646,0.0,YE COUNT
YE_CLOSE_2025,MISCH202,MAIN,10/01/2025,449.0,0.0,YE COUNT
YE_CLOSE_2025,MISCH2O2,MAIN,10/01/2025,-417.0,0.405,YE COUNT
YE_CLOSE_2025,MISCHCL,MAIN,10/01/2025,-570.0,0.36,YE COUNT
YE_CLOSE_2025,MISCINTGR80,MAIN,10/01/2025,-851.9999999999998,1.95011,YE COUNT
YE_CLOSE_2025,MISCKSORBDRY,MAIN,10/01/2025,7.760000000000019,4.52066,YE COUNT
YE_CLOSE_2025,MISCMETHPAR,MAIN,10/01/2025,-0.4799999999999969,11.27083,YE COUNT
YE_CLOSE_2025,MISCSLS,MAIN,10/01/2025,-310.0,0.79,YE COUNT
YE_CLOSE_2025,MISCSULFCARB,MAIN,10/01/2025,-1806.0,0.74,YE COUNT
YE_CLOSE_2025,MRCCCN02,MAIN,10/01/2025,9.0,15.31313,YE COUNT
YE_CLOSE_2025,NO3CA,MAIN,10/01/2025,-88580.15000000001,0.12501,YE COUNT
YE_CLOSE_2025,NO3CA12,MAIN,10/01/2025,135.00000000000728,0.13545,YE COUNT
YE_CLOSE_2025,NO3CITGUARD,MAIN,10/01/2025,-1108.0,1.015,YE COUNT
YE_CLOSE_2025,NO3CODRY,MAIN,10/01/2025,-98.0,7.0922,YE COUNT
YE_CLOSE_2025,NO3CU,MAIN,10/01/2025,2815.7500000000073,1.14072,YE COUNT
YE_CLOSE_2025,NO3FE,MAIN,10/01/2025,13824.95,0.56649,YE COUNT
YE_CLOSE_2025,NO3MG60,MAIN,10/01/2025,2551.0,0.19536,YE COUNT
YE_CLOSE_2025,NO3MG63,MAIN,10/01/2025,1684.0,0.19107,YE COUNT
YE_CLOSE_2025,NO3MN,MAIN,10/01/2025,9300.625380000012,0.4395,YE COUNT
YE_CLOSE_2025,NO3ZN,MAIN,10/01/2025,11217.425,0.67,YE COUNT
YE_CLOSE_2025,NPK0015,MAIN,10/01/2025,-17629.000000000015,0.0651,YE COUNT
YE_CLOSE_2025,NPK0030CDI,MAIN,10/01/2025,3479.0,0.9,YE COUNT
YE_CLOSE_2025,NPK02020,MAIN,10/01/2025,3758.0,0.30199,YE COUNT
YE_CLOSE_2025,NPK11370,MAIN,10/01/2025,24114.319999999992,0.33,YE COUNT
