ITEMNMBR,VENDORID,VendorDesc,OfferPrice,VendorUOM,ITEMDESC,SystemCost,AvgSellingPrice,SourcingDiff,SourcingPct
MISCOIL02                      ,UNITEDAG       ,                                                                                                     ,3.77,         ,Citrus Soluble Oil                                                                                   ,6.9583,,3.1883000000000004,45.82009973700473
FREIGHT                        ,MOTION         ,Freight Charge:                                                                                      ,18.31,         ,Freight Charge:                                                                                      ,33.5,1185.0,15.190000000000001,45.343283582089555
MISCMETHPAR                    ,HALLSTAR       ,Methly Paraben                                                                                       ,6.21309,         ,Methyl Paraben                                                                                       ,11.27083,,5.05774,44.874601071970744
GEOTERR02                      ,THEANDERSONS   ,pHury / Ulti-Mate                                                                                    ,2.35,         ,Vented Grizzly Terrain  /   Duster Down                                                              ,4.2528,,1.9027999999999996,44.742287434161014
GEOTERR02                      ,PRODICAL       ,                                                                                                     ,2.35,         ,Vented Grizzly Terrain  /   Duster Down                                                              ,4.2528,,1.9027999999999996,44.742287434161014
ZZ2.5GALF                      ,TKSUPPLIES     ,2.5 Gallon F-Style                                                                                   ,2.43,EACH5    ,2.5 F-style Jug/Box combo Haz-Mat                                                                    ,4.39,,1.9599999999999995,44.64692482915717
ZZ2.5GALF                      ,PENNBOTT       ,F-Style Jugs                                                                                         ,2.43624,         ,2.5 F-style Jug/Box combo Haz-Mat                                                                    ,4.39,,1.9537599999999995,44.50478359908883
ZZ2.5GALCASE                   ,TKSUPPLIES     ,2.5 Gal Jug Case                                                                                     ,0.98,         ,2.5 Gallon Case Squat - Box Only                                                                     ,1.765,,0.7849999999999999,44.475920679886684
SO4CU                          ,DOUGLASPLANT   ,Copper Sulphate 25.2%                                                                                ,1.04684,         ,Copper Sulphate 25.2%                                                                                ,1.86,,0.8131600000000001,43.71827956989247
FLOKTS00                       ,TESSENDE       ,                                                                                                     ,2.34622,         ,Dyna Flo  0-0-25 17 / Excel 0-0-25 / Grizzly KODIAK / LiquiLizer KTS                                 ,4.05256,,1.7063399999999995,42.10523718340998
MAC1TIME                       ,K-TECHNOLOGIES ,Phosphoric Acid 21.5%                                                                                ,123.80952,         ,Dyna Flo 3-2-6                                                                                       ,209.2,,85.39047999999998,40.81762906309751
MRCCCN00                       ,MORSES ENT     ,                                                                                                     ,7.03278,         ,Copper Count N                                                                                       ,11.75387,,4.721089999999999,40.16626013389632
SOILPLEX02                     ,OMEGAPROTEIN   ,Omega Grow Fish Emulsion 5-1-1                                                                       ,0.63058,         ,Soil Plex  > white jugs & vented caps                                                                ,1.05329,,0.42271000000000003,40.13234721681588
